vocals,instrumental,score,CLAP,normalized_score,normalized_CLAP,MERT,normalized_MERT
Benji Cossa - New Flowers (Fast 4-track Version),The Cute Lepers - Young Hearts,52.34031295776367,0.02483496,0.4196144163828452,-1.0968885,-0.9051368,-1.574936
Benji Cossa - New Flowers (Fast 4-track Version),The Embarrassment - Patio Set,52.03104019165039,0.17938147,0.3177526779791147,-0.5748095,0.77835476,1.3660667
Benji Cossa - New Flowers (Fast 4-track Version),The J Arthur Keenes Band - The Boring World of Niels Bohr,52.19847297668457,-0.00514968,0.3728981560750189,-1.1981808,0.46209306,0.8135682
Benji Cossa - New Flowers (Fast 4-track Version),The Oranges Band - Ride the Nuclear Wave,52.78356742858887,0.20379871,0.5656042218251457,-0.4923248,-0.9024936,-1.5703185
Benji Cossa - New Flowers (Fast 4-track Version),Wann - Happy Birthday,54.93455123901367,0.7970794,1.274049886025327,1.5118575,-0.87852347,-1.5284435
Benji Cossa - New Flowers (Fast 4-track Version),ZOELEELA - Jewel,52.893104553222656,0.25472736,0.6016812488300292,-0.3202809,-0.29423943,-0.507719
Bessie Smith - My Sweetie Went Away,Bam Bam - Hi-Q,56.97253227233887,0.630813,1.9452770797327033,0.9501872,0.8528134,1.4961435
Bessie Smith - My Sweetie Went Away,Benji Cossa - New Flowers (Fast 4-track Version),57.745975494384766,0.21968828,2.200017489450255,-0.4386477,-0.5376211,-0.9328985
Bessie Smith - My Sweetie Went Away,Bessie Smith - My Sweetie Went Away,53.13626480102539,1.0000001,0.6817682408505166,2.197351,-0.6811069,-1.1835634
Bessie Smith - My Sweetie Went Away,David Rovics - We Just Want The World,58.30327224731445,0.13398677,2.383568135611512,-0.72815895,0.2932829,0.5186626
Bessie Smith - My Sweetie Went Away,deef - Ein sonniger Tag mit dir,55.92647171020508,0.7519258,1.600747722448452,1.3593227,0.6055044,1.064103
Bessie Smith - My Sweetie Went Away,Dragon Or Emperor - Part of Me Says,55.77152824401856,0.18623118,1.5497157126843681,-0.5516703,0.49198222,0.8657836
Bessie Smith - My Sweetie Went Away,Grand Mal - Children of Light,56.28422546386719,0.70287746,1.7185771056380943,1.1936307,0.44173154,0.7779973
Bessie Smith - My Sweetie Went Away,Home Blitz - Secret Wave,56.77980041503906,0.29801503,1.8817991269951932,-0.17404935,-0.49048257,-0.8505491
Bessie Smith - My Sweetie Went Away,Josh Woodward - Cien Volando,57.01959419250488,0.73617494,1.9607773420447492,1.3061141,-0.5772585,-1.0021437
Bessie Smith - My Sweetie Went Away,Los Steaks - Sunday Girls,57.922950744628906,0.21826659,2.258305863402006,-0.44345033,-0.7140836,-1.2411726
Bessie Smith - My Sweetie Went Away,Mia Doi Todd - I gave you my home,57.25516319274902,0.6665101,2.038364089110955,1.0707768,0.57703626,1.0143701
Bessie Smith - My Sweetie Went Away,Orange Peels - Grey Holiday,56.975786209106445,-0.047663957,1.9463487927708951,-1.3417996,-0.85569024,-1.4885545
Bessie Smith - My Sweetie Went Away,Poland - Lying Machine,56.819183349609375,0.67637783,1.894770247049466,1.1041113,-0.8064222,-1.4024849
Bessie Smith - My Sweetie Went Away,Shearer - Itch,56.75725555419922,0.22343823,1.874373776402327,-0.42597982,-0.5714166,-0.9919382
Bessie Smith - My Sweetie Went Away,Short Hand - Certain Strangers,57.92691040039063,0.4703267,2.2596100112726334,0.40804276,-0.42080614,-0.72882676
Bessie Smith - My Sweetie Went Away,The Cute Lepers - Young Hearts,55.380367279052734,-0.0638494,1.4208833670891352,-1.3964763,0.71748054,1.2597215
Bessie Smith - My Sweetie Went Away,The Embarrassment - Patio Set,54.99840927124024,0.7477454,1.295082097349286,1.3452007,-0.50860924,-0.8822158
Bessie Smith - My Sweetie Went Away,The J Arthur Keenes Band - The Boring World of Niels Bohr,55.38156127929688,0.015997097,1.4212766216975246,-1.126744,-0.6649075,-1.1552635
Bessie Smith - My Sweetie Went Away,The Oranges Band - Ride the Nuclear Wave,55.87291145324707,0.84033966,1.583107175071271,1.6579965,0.7698985,1.3512938
Bessie Smith - My Sweetie Went Away,Wann - Happy Birthday,57.73952102661133,0.23841244,2.1978916530368657,-0.37539494,0.62814987,1.1036638
Bessie Smith - My Sweetie Went Away,ZOELEELA - Jewel,56.497684478759766,0.48317513,1.7888817322243926,0.4514465,-0.052847818,-0.08601606
David Rovics - We Just Want The World,Bam Bam - Hi-Q,50.1609001159668,0.28974235,-0.29819460235089573,-0.20199557,-0.764212,-1.3287451
David Rovics - We Just Want The World,Benji Cossa - New Flowers (Fast 4-track Version),50.49328804016113,0.33861855,-0.18871968088160282,-0.03688517,0.75913036,1.3324823
David Rovics - We Just Want The World,Bessie Smith - My Sweetie Went Away,45.13983726501465,0.13398677,-1.9519263455624536,-0.72815895,0.73968124,1.2985053
David Rovics - We Just Want The World,David Rovics - We Just Want The World,51.51968383789063,0.99999964,0.1493329112070117,2.1973495,-0.49826688,-0.864148
David Rovics - We Just Want The World,deef - Ein sonniger Tag mit dir,48.04151916503906,0.2433025,-0.996231583473818,-0.35887566,-0.17647755,-0.301993
David Rovics - We Just Want The World,Dragon Or Emperor - Part of Me Says,49.65497589111328,0.29161307,-0.46482524911551515,-0.19567601,-0.8371578,-1.456179
David Rovics - We Just Want The World,Grand Mal - Children of Light,49.3115234375,0.09435863,-0.5779443718360109,-0.8620282,-0.5084411,-0.88192207
David Rovics - We Just Want The World,Home Blitz - Secret Wave,50.56777191162109,0.32400686,-0.1641877548239043,-0.08624544,0.8631203,1.5141492
David Rovics - We Just Want The World,Josh Woodward - Cien Volando,49.767616271972656,0.37662113,-0.4277261370501754,0.09149268,0.8311311,1.4582652
David Rovics - We Just Want The World,Los Steaks - Sunday Girls,51.26366233825684,0.23019788,0.0650099514159915,-0.40314484,0.6542934,1.1493357
David Rovics - We Just Want The World,Mia Doi Todd - I gave you my home,49.52066040039063,0.15602815,-0.5090632515478013,-0.6537002,-0.7174889,-1.2471215
David Rovics - We Just Want The World,Orange Peels - Grey Holiday,49.39323043823242,0.2984976,-0.5510334438582436,-0.17241919,0.7440474,1.3061329
David Rovics - We Just Want The World,Poland - Lying Machine,50.16153526306152,0.21382175,-0.29798541100170584,-0.4584656,0.80791914,1.4177147
David Rovics - We Just Want The World,Shearer - Itch,49.94374084472656,0.57182664,-0.3697179413018438,0.7509233,0.43316156,0.7630259
David Rovics - We Just Want The World,Short Hand - Certain Strangers,51.13586616516113,0.11409365,0.022919144273583752,-0.7953606,-0.14928794,-0.25449368
David Rovics - We Just Want The World,The Cute Lepers - Young Hearts,49.12383460998535,0.28059614,-0.6397613578249981,-0.2328927,-0.8864211,-1.5422403
David Rovics - We Just Want The World,The Embarrassment - Patio Set,48.58688163757324,0.10060625,-0.816611598789681,-0.8409229,0.61188734,1.0752537
David Rovics - We Just Want The World,The J Arthur Keenes Band - The Boring World of Niels Bohr,48.65517807006836,0.31067607,-0.7941175608303945,-0.13127863,0.508673,0.8949418
David Rovics - We Just Want The World,The Oranges Band - Ride the Nuclear Wave,49.11257743835449,0.21251781,-0.6434690075034327,-0.46287048,-0.8724647,-1.517859
David Rovics - We Just Want The World,Wann - Happy Birthday,51.24458885192871,0.32343233,0.05872792891779426,-0.08818627,-0.6277284,-1.090313
David Rovics - We Just Want The World,ZOELEELA - Jewel,49.3286361694336,0.23641604,-0.5723081412506281,-0.38213906,-0.19019754,-0.32596138
